,y,y.donor.oriented,i_ID,j_ID,ij_dyad_ID,k_ID,l_ID,kl_dyad_ID,il_ID,jk_ID,i_age,j_age,i_sex,j_sex,i_bmi,j_bmi,i_skin,j_skin,k_wealth,l_wealth,ij_god_relation,ij_deg_r,ij_affinal_r,kl_avg_interhouse_R,kl_sd_interhouse_R,kl_distance,kl_affair,i_avg_community_r,j_avg_community_r
1,0,0,1,2,1,1,2,2,2,33,35,26,M,M,25.39642228,24.05924093,47.8,45.6,0.19701,0.17122,0,0,0.0625,0.053977273,0.049500344,3756.402801,ref,0.013304313,0.020115025
108,0,0,2,1,1,2,1,2,33,2,26,35,M,M,24.05924093,25.39642228,45.6,47.8,0.17122,0.19701,0,0,0.0625,0.053977273,0.049500344,3756.402801,ref,0.020115025,0.013304313
3,0,0,1,3,2,1,5,5,5,65,35,48,M,M,25.39642228,23.66780045,47.8,51.1,0.19701,0.314460001,1,0,0,0.026988636,0.030061974,156.7067325,ref,0.013304313,0.013837638
322,0,0,3,1,2,5,1,5,65,5,48,35,M,M,23.66780045,25.39642228,51.1,47.8,0.314460001,0.19701,1,0,0,0.026988636,0.030061974,156.7067325,ref,0.013837638,0.013304313
5,1,0,1,4,3,1,3,3,3,97,35,45,M,M,25.39642228,21.67505798,47.8,62.5,0.19701,0.18203,0,0,0,0.098140496,0.084462318,97.08243919,ref,0.013304313,0.013376384
536,0,1,4,1,3,3,1,3,97,3,45,35,M,M,21.67505798,25.39642228,62.5,47.8,0.18203,0.19701,0,0,0,0.098140496,0.084462318,97.08243919,ref,0.013376384,0.013304313
6,0,0,1,5,4,1,4,4,4,129,35,33,M,M,25.39642228,23.57000197,47.8,48.8,0.19701,0.07379,0,0,0,0.016867898,0.016325289,1396.977452,ref,0.013304313,0.005073801
643,0,0,5,1,4,4,1,4,129,4,33,35,M,M,23.57000197,25.39642228,48.8,47.8,0.07379,0.19701,0,0,0,0.016867898,0.016325289,1396.977452,ref,0.005073801,0.013304313
7,0,1,1,6,5,1,6,6,6,161,35,67,M,F,25.39642228,24.27041046,47.8,51.3,0.19701,0.24648,0,0,0.0625,0.009638799,0.011077298,27.78488798,ref,0.013304313,0.041685886
750,0,1,6,1,5,6,1,6,161,6,67,35,F,M,24.27041046,25.39642228,51.3,47.8,0.24648,0.19701,0,0,0.0625,0.009638799,0.011077298,27.78488798,ref,0.041685886,0.013304313
67,0,0,1,7,6,1,26,26,26,193,35,23,M,M,25.39642228,23.72099941,47.8,54,0.19701,0.31169,0,0,0.25,0.11875,0.096112215,182.8004376,ref,0.013304313,0.078924988
7170,0,0,7,1,6,26,1,26,193,26,23,35,M,M,23.72099941,25.39642228,54,47.8,0.31169,0.19701,0,0,0.25,0.11875,0.096112215,182.8004376,ref,0.078924988,0.013304313
8,0,0,1,8,7,1,13,13,13,225,35,43,M,F,25.39642228,18.24242151,47.8,45.9,0.19701,0.18418,0,0,0,0.021590909,0.05248714,170.3290932,ref,0.013304313,0.027444649
857,0,0,8,1,7,13,1,13,225,13,43,35,F,M,18.24242151,25.39642228,45.9,47.8,0.18418,0.19701,0,0,0,0.021590909,0.05248714,170.3290932,ref,0.027444649,0.013304313
9,0,0,1,9,8,1,22,22,22,257,35,20,M,M,25.39642228,22.33278955,47.8,47.8,0.19701,0.17186,0,0,0.015625,0.006024249,0.005236745,72.69112738,ref,0.013304313,0.039941767
964,0,0,9,1,8,22,1,22,257,22,20,35,M,M,22.33278955,25.39642228,47.8,47.8,0.17186,0.19701,0,0,0.015625,0.006024249,0.005236745,72.69112738,ref,0.039941767,0.013304313
10,0,0,1,10,9,1,32,32,32,289,35,31,M,M,25.39642228,22.83633299,47.8,46,0.19701,0.321590001,0,0,0,0.094460227,0.086294337,139.9464183,ref,0.013304313,0.002133303
1071,0,0,10,1,9,32,1,32,289,32,31,35,M,M,22.83633299,25.39642228,46,47.8,0.321590001,0.19701,0,0,0,0.094460227,0.086294337,139.9464183,ref,0.002133303,0.013304313
11,0,0,1,11,10,1,15,15,15,321,35,22,M,F,25.39642228,26.68320929,47.8,56.7,0.19701,0.323029999,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.013304313,0.02206815
1178,0,0,11,1,10,15,1,15,321,15,22,35,F,M,26.68320929,25.39642228,56.7,47.8,0.323029999,0.19701,0,0.125,0,0.034469697,0.05043922,63.56099433,ref,0.02206815,0.013304313
12,0,0,1,12,11,1,17,17,17,353,35,41,M,F,25.39642228,26.3844817,47.8,56.7,0.19701,0.332809999,0,0,0,0.033735795,0.027876409,249.6477518,ref,0.013304313,0.017181734
1285,0,0,12,1,11,17,1,17,353,17,41,35,F,M,26.3844817,25.39642228,56.7,47.8,0.332809999,0.19701,0,0,0,0.033735795,0.027876409,249.6477518,ref,0.017181734,0.013304313
13,1,0,1,13,12,1,30,30,30,385,35,22,M,M,25.39642228,22.25322593,47.8,51,0.19701,0.566279999,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.07362056
1392,0,0,13,1,12,30,1,30,385,30,22,35,M,M,22.25322593,25.39642228,51,47.8,0.566279999,0.19701,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.07362056,0.013304313
14,0,0,1,14,13,1,7,7,7,417,35,23,M,M,25.39642228,25.0457922,47.8,66.5,0.19701,0.049,0,0,0,0.016867898,0.017540693,350.4069063,ref,0.013304313,0.003690037
1499,0,0,14,1,13,7,1,7,417,7,23,35,M,M,25.0457922,25.39642228,66.5,47.8,0.049,0.19701,0,0,0,0.016867898,0.017540693,350.4069063,ref,0.003690037,0.013304313
16,0,0,1,15,14,1,30,30,30,449,35,25,M,F,25.39642228,23.59558321,47.8,48,0.19701,0.566279999,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.07362056
1713,0,0,15,1,14,30,1,30,449,30,25,35,F,M,23.59558321,25.39642228,48,47.8,0.566279999,0.19701,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.07362056,0.013304313
15,1,0,1,16,15,1,30,30,30,474,35,24,M,F,25.39642228,25.41245349,47.8,50.9,0.19701,0.566279999,0,0,0,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.005535055
1606,0,1,16,1,15,30,1,30,474,30,24,35,F,M,25.41245349,25.39642228,50.9,47.8,0.566279999,0.19701,0,0,0,0.073028075,0.075780528,75.17978452,ref,0.005535055,0.013304313
17,0,0,1,17,16,1,30,30,30,513,35,25,M,F,25.39642228,22.43714647,47.8,56.5,0.19701,0.566279999,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.013304313,0.072698051
1820,0,0,17,1,16,30,1,30,513,30,25,35,F,M,22.43714647,25.39642228,56.5,47.8,0.566279999,0.19701,0,0,0.25,0.073028075,0.075780528,75.17978452,ref,0.072698051,0.013304313
18,0,0,1,18,17,1,8,8,8,545,35,37,M,M,25.39642228,22.08349443,47.8,52.2,0.19701,0.846060004,0,0,0,0.053977273,0.043563061,56.30275304,ref,0.013304313,0.02761762
1927,0,0,18,1,17,8,1,8,545,8,37,35,M,M,22.08349443,25.39642228,52.2,47.8,0.846060004,0.19701,0,0,0,0.053977273,0.043563061,56.30275304,ref,0.02761762,0.013304313
95,0,0,1,19,18,1,24,24,24,577,35,41,M,F,25.39642228,22.12788277,47.8,48.6,0.19701,5.259309977,0,0,0.15625,0.033735795,0.027876409,287.5639059,ref,0.013304313,0.106319188
10166,0,0,19,1,18,24,1,24,577,24,41,35,F,M,22.12788277,25.39642228,48.6,47.8,5.259309977,0.19701,0,0,0.15625,0.033735795,0.027876409,287.5639059,ref,0.106319188,0.013304313
19,0,0,1,20,19,1,23,23,23,609,35,31,M,F,25.39642228,26.6204225,47.8,54.9,0.19701,2.34056999,0,0.015625,0.046875,0.010120739,0.008362923,350.7962372,ref,0.013304313,0.03806792
2034,0,0,20,1,19,23,1,23,609,23,31,35,F,M,26.6204225,25.39642228,54.9,47.8,2.34056999,0.19701,0,0.015625,0.046875,0.010120739,0.008362923,350.7962372,ref,0.03806792,0.013304313
20,0,0,1,21,20,1,3,3,3,641,35,25,M,M,25.39642228,22.35751702,47.8,51.8,0.19701,0.18203,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.013304313,0.06727831
2141,0,0,21,1,20,3,1,3,641,3,25,35,M,M,22.35751702,25.39642228,51.8,47.8,0.18203,0.19701,0,0,0.25,0.098140496,0.084462318,97.08243919,ref,0.06727831,0.013304313
